,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,2,3,2,2,3,2,5,2,2,2,2,2,3,5,5,2,2,2,3,2,2,5,3,3,2,5,3,5,5,5,2,3,5,5,3,5,5,3,2,2,5,3,2,2,3,2,2,5,3,3,3,5,3,3,5,2,5,5,5,2,2,2,2,2,3,3,5,3,5,2,3,3,3,2,2,3,2,2,2,5,5,3,5,5,2,5,5,2,2,2,2,3,3,2,3,5,2,2,2,5
User Picked,2,4,2,2,4,2,9,6,2,6,6,6,8,9,9,2,6,2,4,6,6,10,8,8,2,9,8,13,6,10,2,8,10,6,4,10,10,8,2,2,6,8,2,2,4,6,6,6,8,8,8,9,4,4,10,6,13,6,13,6,6,2,6,6,4,4,9,4,9,2,4,4,4,2,6,8,2,2,6,9,10,8,10,6,6,13,10,2,6,2,2,8,4,2,4,9,6,2,6,9
Effort,-1,-1,-1,-1,-1,-1,0.156740332,-1,-1,-1,-1,-1,-1,0.156740332,0.156740332,-1,-1,-1,-1,-1,-1,0.229432459,-1,-1,-1,0.227236295,-1,0.269959302,0.203807866,0.212865594,-1,-1,0.229432459,0.203807866,-1,0.212865594,0.229432459,-1,-1,-1,0.227236295,-1,-1,-1,-1,-1,-1,0.203807866,-1,-1,-1,0.156740332,-1,-1,0.212865594,-1,0.269959302,0.227236295,0.269959302,-1,-1,-1,-1,-1,-1,-1,0.156740332,-1,0.227236295,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.227236295,0.229432459,-1,0.212865594,0.203807866,-1,0.269959302,0.212865594,-1,-1,-1,-1,-1,-1,-1,-1,0.227236295,-1,-1,-1,0.227236295
Selected Points,-1,-1,-1,-1,-1,-1,0.777777778,-1,-1,-1,-1,-1,-1,0.777777778,0.777777778,-1,-1,-1,-1,-1,-1,0.7,-1,-1,-1,0.777777778,-1,0.692307692,1,0.7,-1,-1,0.7,1,-1,0.7,0.7,-1,-1,-1,0.833333333,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.777777778,-1,-1,0.7,-1,0.692307692,0.833333333,0.692307692,-1,-1,-1,-1,-1,-1,-1,0.777777778,-1,0.777777778,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.777777778,0.7,-1,0.7,1,-1,0.692307692,0.7,-1,-1,-1,-1,-1,-1,-1,-1,0.777777778,-1,-1,-1,0.777777778
Risk,-1,-1,-1,-1,-1,-1,0.023875622,-1,-1,-1,-1,-1,-1,0.023875622,0.023875622,-1,-1,-1,-1,-1,-1,0.028019768,-1,-1,-1,0.027889668,-1,0.046102151,0.030621875,0.037480698,-1,-1,0.028019768,0.030621875,-1,0.037480698,0.028019768,-1,-1,-1,0.027889668,-1,-1,-1,-1,-1,-1,0.030621875,-1,-1,-1,0.023875622,-1,-1,0.037480698,-1,0.046102151,0.027889668,0.046102151,-1,-1,-1,-1,-1,-1,-1,0.023875622,-1,0.027889668,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.027889668,0.028019768,-1,0.037480698,0.030621875,-1,0.046102151,0.037480698,-1,-1,-1,-1,-1,-1,-1,-1,0.027889668,-1,-1,-1,0.027889668
Defects,-1,-1,-1,-1,-1,-1,0.006728961,-1,-1,-1,-1,-1,-1,0.006728961,0.006728961,-1,-1,-1,-1,-1,-1,0.002455898,-1,-1,-1,0.003561312,-1,0.015088245,0.004338423,0.02199589,-1,-1,0.002455898,0.004338423,-1,0.02199589,0.002455898,-1,-1,-1,0.003561312,-1,-1,-1,-1,-1,-1,0.004338423,-1,-1,-1,0.006728961,-1,-1,0.02199589,-1,0.015088245,0.003561312,0.015088245,-1,-1,-1,-1,-1,-1,-1,0.006728961,-1,0.003561312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.003561312,0.002455898,-1,0.02199589,0.004338423,-1,0.015088245,0.02199589,-1,-1,-1,-1,-1,-1,-1,-1,0.003561312,-1,-1,-1,0.003561312
Months,-1,-1,-1,-1,-1,-1,0.127272727,-1,-1,-1,-1,-1,-1,0.127272727,0.127272727,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,0.036363636,0.109090909,0.127272727,-1,-1,0,0.109090909,-1,0.127272727,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.109090909,-1,-1,-1,0.127272727,-1,-1,0.127272727,-1,0.036363636,0,0.036363636,-1,-1,-1,-1,-1,-1,-1,0.127272727,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0.127272727,0.109090909,-1,0.036363636,0.127272727,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0
Score,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1,0.005,0.005,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,0.005,-1,0.005,0.005,0.005,-1,-1,0.005,0.005,-1,0.005,0.005,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,0.005,-1,-1,0.005,-1,0.005,0.005,0.005,-1,-1,-1,-1,-1,-1,-1,0.005,-1,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005,0.005,-1,0.005,0.005,-1,0.005,0.005,-1,-1,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,0.005
Time,3.602002144,3.623349428,3.588081598,3.56128335,3.599246264,3.597444534,4.23951149,3.610243559,3.607670307,3.572000027,3.853012562,3.958990335,3.853048086,4.573683977,4.428631783,3.570652008,4.291009665,4.166991949,3.99799943,4.033998966,4.267999887,4.431004047,4.146016121,3.921998501,4.135001659,4.693014145,3.807536364,4.372139692,4.454001188,4.469679117,3.687547922,3.710789204,4.35850811,4.431185246,3.720365286,4.424291134,4.330638409,3.664632082,3.666380644,3.665682077,4.343014002,3.651941776,3.654548407,3.651135921,3.585536957,3.677924395,3.677031994,4.244534731,3.621977568,3.641201735,3.58439517,4.287895441,3.642053843,3.571864367,4.29811573,3.64821434,4.270361185,4.278479815,4.314015627,3.588032246,3.601783991,3.611975908,3.669135094,3.697538853,3.686584949,3.644832373,4.281039,3.687452555,4.303105354,3.66672492,3.665600061,3.596908092,3.616181374,3.634134531,3.605021238,3.606369257,3.674256563,3.565364122,3.590825319,4.290993214,4.367819071,3.644308329,4.278828144,4.232659817,3.655057669,4.360405684,4.368011713,3.674504995,3.646972418,3.740029812,3.651914358,3.659543037,3.583999634,3.611657143,3.642041922,4.261042118,3.678855419,3.6720438,3.60663867,4.305367231
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.24137931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
