,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,1,2,2,5,1,1,2,2,1,1,5,1,1,1,5,2,2,1,1,1,5,2,5,5,1,5,2,2,1,1,2,5,2,5,1,1,1,2,1,1,1,2,2,1,2,1,2,5,2,2,1,2,1,5,1,2,1,2,2,1,1,5,5,2,5,5,2,1,2,1,2,1,5,2,1,5,2,1,5,5,2,1,5,5,1,2,2,2,1,1,1,2,2,5,1,1,1,2,1,1
User Picked,2,4,4,10,2,2,4,4,2,2,8,2,2,2,8,4,4,2,2,2,6,4,6,10,2,8,4,4,2,2,4,6,4,11,2,2,2,4,2,2,2,4,4,2,4,2,4,11,4,4,2,4,2,7,2,4,2,4,4,2,2,10,6,4,9,8,4,2,4,2,4,2,8,4,2,9,4,2,6,9,4,2,8,6,2,4,4,4,2,2,2,4,4,8,2,2,2,4,2,2
Cost,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,0,-1,0,0,-1,0.093818985,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0.03342246,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0.093818985,-1,-1,-1,-1,-1,-1,0,-1,-1,0.093818985,-1,-1,0,0.093818985,-1,-1,0.093818985,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.093818985,-1,-1,-1,-1,-1,-1
Selected Points,-1,-1,-1,0.6,-1,-1,-1,-1,-1,-1,0.625,-1,-1,-1,0.625,-1,-1,-1,-1,-1,0.833333333,-1,0.833333333,0.6,-1,0.75,-1,-1,-1,-1,-1,0.833333333,-1,0.545454545,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.545454545,-1,-1,-1,-1,-1,0.714285714,-1,-1,-1,-1,-1,-1,-1,0.6,0.833333333,-1,0.555555556,0.75,-1,-1,-1,-1,-1,-1,0.625,-1,-1,0.666666667,-1,-1,0.833333333,0.666666667,-1,-1,0.75,0.833333333,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.75,-1,-1,-1,-1,-1,-1
Completion Rate,-1,-1,-1,0.759178527,-1,-1,-1,-1,-1,-1,0.885721353,-1,-1,-1,0.885721353,-1,-1,-1,-1,-1,0.438232341,-1,0.438232341,0.759178527,-1,0.747048288,-1,-1,-1,-1,-1,0.438232341,-1,0.823022268,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.823022268,-1,-1,-1,-1,-1,0.53017391,-1,-1,-1,-1,-1,-1,-1,0.759178527,0.438232341,-1,0.823022268,0.747048288,-1,-1,-1,-1,-1,-1,0.885721353,-1,-1,0.747048288,-1,-1,0.438232341,0.747048288,-1,-1,0.747048288,0.438232341,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.747048288,-1,-1,-1,-1,-1,-1
Idle Rate,-1,-1,-1,0.082975922,-1,-1,-1,-1,-1,-1,0.212054811,-1,-1,-1,0.212054811,-1,-1,-1,-1,-1,0.007953176,-1,0.007953176,0.082975922,-1,0.144277155,-1,-1,-1,-1,-1,0.007953176,-1,0.103011487,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.103011487,-1,-1,-1,-1,-1,0.073619069,-1,-1,-1,-1,-1,-1,-1,0.082975922,0.007953176,-1,0.103011487,0.144277155,-1,-1,-1,-1,-1,-1,0.212054811,-1,-1,0.144277155,-1,-1,0.007953176,0.144277155,-1,-1,0.144277155,0.007953176,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.144277155,-1,-1,-1,-1,-1,-1
Score,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,0.005,-1,-1,-1,-1,-1,0.005,-1,0.005,0.005,-1,0.005,-1,-1,-1,-1,-1,0.005,-1,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1,-1,0.005,0.005,-1,0.005,0.005,-1,-1,-1,-1,-1,-1,0.005,-1,-1,0.005,-1,-1,0.005,0.005,-1,-1,0.005,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1
Time,1.623003006,1.524996996,1.556032181,2.075998068,1.705002785,1.653999329,1.817521572,1.79100275,1.663996458,1.650002241,2.023001194,1.733997583,1.740000248,1.563999414,2.027998209,1.593000889,1.584000111,1.71000123,1.575996637,1.655003786,2.099997759,1.608999491,2.053999186,2.024001122,1.58300066,1.990760803,1.58403039,1.581997156,1.542005539,1.571995258,1.57999897,1.994001389,1.585000038,2.069999456,1.571032763,1.599967957,1.590028524,1.564971209,1.583999872,1.584998608,1.537007093,1.582993984,1.591002226,1.543998003,1.57799983,1.584002972,1.570997953,2.029998779,1.637999296,1.608000755,1.587029457,1.60600996,1.565986395,2.028974056,1.659003258,1.573999405,1.615998268,1.594000578,1.565997839,1.583003759,1.580999613,2.008999348,2.039028168,1.569039583,2.043991089,2.113966227,1.565030336,1.5849998,1.797001123,1.694000959,1.652998924,1.657999992,2.210000515,1.720999479,2.358011723,2.223987818,1.855000019,1.753001451,2.260999441,2.292998552,1.859000206,1.682003736,2.14602685,2.117001534,1.683000326,1.857997894,1.84600091,1.713000298,1.674999475,1.639000654,1.637000084,1.669000149,1.766000986,2.123024464,1.636000395,1.659008265,1.61099124,1.657031298,1.666970491,1.615000248
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
