,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Asked,1,3,1,1,1,1,1,3,4,1,1,3,4,1,1,1,1,4,4,1,1,3,3,3,4,1,3,1,4,4,3,1,1,4,4,1,3,1,4,1,4,1,4,4,1,1,1,3,3,4,4,3,1,4,3,1,1,3,1,1,1,3,1,3,3,3,3,1,4,1,1,1,1,1,1,3,1,1,1,1,3,1,1,1,1,1,3,1,3,4,1,3,4,3,3,4,4,3,1,4
User Picked,2,7,2,2,2,2,2,5,7,2,2,7,7,2,2,2,2,9,9,2,2,5,7,5,7,2,5,2,9,7,7,2,2,7,9,2,5,2,7,2,9,2,7,9,2,2,2,5,5,7,9,5,2,9,5,2,2,5,2,2,2,5,2,5,5,5,7,2,9,2,2,2,2,2,2,7,2,2,2,2,5,2,2,2,2,2,7,2,7,9,2,7,7,7,5,9,9,7,2,7
Cost,-1,-1,-1,-1,-1,-1,-1,-1,0.085714286,-1,-1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,-1,-1,0.085714286,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,0.085714286,-1,0,0,-1,-1,-1,-1,-1,0.085714286,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.085714286,-1,-1,0,-1,-1,0.085714286,0.085714286,-1,-1,0
Selected Points,-1,-1,-1,-1,-1,-1,-1,-1,0.714285714,-1,-1,-1,0.571428571,-1,-1,-1,-1,0.555555556,0.555555556,-1,-1,-1,-1,-1,0.571428571,-1,-1,-1,0.555555556,0.571428571,-1,-1,-1,0.571428571,0.555555556,-1,-1,-1,0.571428571,-1,0.555555556,-1,0.571428571,0.555555556,-1,-1,-1,-1,-1,0.714285714,0.555555556,-1,-1,0.555555556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.555555556,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.555555556,-1,-1,0.571428571,-1,-1,0.555555556,0.555555556,-1,-1,0.571428571
Completion Rate,-1,-1,-1,-1,-1,-1,-1,-1,0.57274945,-1,-1,-1,0.562006545,-1,-1,-1,-1,0.497403354,0.497403354,-1,-1,-1,-1,-1,0.562006545,-1,-1,-1,0.57274945,0.562006545,-1,-1,-1,0.562006545,0.497403354,-1,-1,-1,0.562006545,-1,0.57274945,-1,0.562006545,0.497403354,-1,-1,-1,-1,-1,0.57274945,0.497403354,-1,-1,0.497403354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.497403354,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.57274945,-1,-1,0.562006545,-1,-1,0.57274945,0.57274945,-1,-1,0.562006545
Idle Rate,-1,-1,-1,-1,-1,-1,-1,-1,0.184728225,-1,-1,-1,0.106272993,-1,-1,-1,-1,0.202029674,0.202029674,-1,-1,-1,-1,-1,0.106272993,-1,-1,-1,0.184728225,0.106272993,-1,-1,-1,0.106272993,0.202029674,-1,-1,-1,0.106272993,-1,0.184728225,-1,0.106272993,0.202029674,-1,-1,-1,-1,-1,0.184728225,0.202029674,-1,-1,0.202029674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.202029674,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.184728225,-1,-1,0.106272993,-1,-1,0.184728225,0.184728225,-1,-1,0.106272993
Score,-1,-1,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,0.005,-1,-1,-1,-1,0.005,0.005,-1,-1,-1,-1,-1,0.005,-1,-1,-1,0.005,0.005,-1,-1,-1,0.005,0.005,-1,-1,-1,0.005,-1,0.005,-1,0.005,0.005,-1,-1,-1,-1,-1,0.005,0.005,-1,-1,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.005,-1,-1,0.005,-1,-1,0.005,0.005,-1,-1,0.005
Time,1.680002213,1.68599987,1.690029144,1.640000582,1.679998398,1.607029438,1.655970335,1.702000618,2.186998367,1.710033655,1.710968494,1.691022635,1.925006151,1.618999958,1.585999489,1.628000021,1.683999538,2.443000555,2.060997486,1.732992887,1.637000561,1.666998148,1.661000013,1.620998144,1.906002045,1.62800622,1.628994942,2.009997845,1.968001366,1.906997442,1.667001963,1.585000515,1.602000475,1.909997702,1.844032049,1.809000492,1.909998655,1.583999634,1.873033524,1.602967501,1.863999128,1.591030836,1.845037699,1.834961891,1.586998701,1.574999332,1.653002501,1.658997774,1.643002033,1.853025436,1.86199975,1.611001015,1.549031973,1.840999126,1.599023581,1.56200552,1.580970764,1.604999781,1.564033985,1.576967716,1.58999896,1.568002939,1.576997042,1.602000475,1.56999898,1.593998671,1.599001646,1.558998108,1.934999466,1.6320014,1.707528353,1.607001066,2.006029844,1.612000704,1.623001814,1.633999109,1.576998234,1.58803153,1.598967791,1.555031538,1.628999949,1.648999691,1.692942619,1.63999939,1.643001795,1.584026337,1.763971567,1.704000473,1.653000116,1.884996891,1.612000227,1.595030785,1.878968716,1.626999855,1.598000526,1.875000477,1.842998743,1.621040821,1.608961821,1.83999753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
